rs,theta,q,q_over_kF,lambda,order_N,Kxc_minus,sigma_Kxc_minus,Kxc_minus_times_NF,sigma_Kxc_minus_times_NF
4,1,1.15149,2.39998963,0.75,1,1.414861759,0.0001391392059,0.03439022942,3.381976497e-06
4,1,1.24745,2.599993976,0.75,1,1.702205082,0.0001737692762,0.041374518,4.223709657e-06
4,1,1.34341,2.799998322,0.75,1,2.037482237,0.0002448502555,0.04952390658,5.95143406e-06
4,1,1.43937,3.000002669,0.75,1,2.415419997,0.0002898004829,0.05871022193,7.044013332e-06
4,1,1.53533,3.200007015,0.75,1,2.825969391,0.0003102469685,0.06868920946,7.540994275e-06
4,1,1.63128,3.399990519,0.75,1,3.250590323,0.0004579207353,0.07901022576,1.113041542e-05
4,1,1.72724,3.599994866,0.75,1,3.672127025,0.000517026936,0.08925627544,1.256707578e-05
4,1,1.8232,3.799999212,0.75,1,4.069810139,0.000576948456,0.09892252972,1.402355364e-05
4,1,1.91916,4.000003558,0.75,1,4.425051602,0.0007835099473,0.1075571792,1.904432477e-05
4,1,2.01512,4.200007905,0.75,1,4.725952107,0.0009737771542,0.1148709944,2.366904013e-05
4,1,2.11107,4.399991409,0.75,1,4.966809376,0.001163093398,0.1207253733,2.827064098e-05
4,1,2.20703,4.599995755,0.75,1,5.148594864,0.001516690587,0.1251439284,3.686532408e-05
4,1,2.30299,4.800000102,0.75,1,5.275912786,0.001791693957,0.1282385717,4.354967251e-05
4,1,2.39895,5.000004448,0.75,1,5.355899692,0.00215051114,0.1301827673,5.2271235e-05
4,1,0,0,0.75,2,-7.59787094,0.0003541795502,-0.1846770705,8.608838223e-06
4,1,0.0959579,0.1999999695,0.75,2,-7.597549577,0.0003426824502,-0.1846692593,8.329384838e-06
4,1,0.191916,0.4000003558,0.75,2,-7.595330318,0.0003318412706,-0.184615317,8.065874533e-06
4,1,0.287874,0.6000005338,0.75,2,-7.590675415,0.0003259936701,-0.184502173,7.923740277e-06
4,1,0.383832,0.8000007117,0.75,2,-7.578777786,0.0003645156901,-0.1842129842,8.860072819e-06
4,1,0.47979,1.00000089,0.75,2,-7.557483304,0.0003576237931,-0.1836953915,8.692555449e-06
4,1,0.575747,1.199998983,0.75,2,-7.518714889,0.0003771384403,-0.18275307,9.166886734e-06
4,1,0.671705,1.399999161,0.75,2,-7.456369423,0.0004885680309,-0.1812376747,1.187534158e-05
4,1,0.767663,1.599999339,0.75,2,-7.363950404,0.0004731553727,-0.1789912988,1.150071498e-05
4,1,0.863621,1.799999517,0.75,2,-7.227509564,0.0005227779414,-0.1756749099,1.270686216e-05
4,1,0.959579,1.999999695,0.75,2,-7.037487075,0.0006225175546,-0.1710561428,1.513117546e-05
4,1,1.05554,2.200006126,0.75,2,-6.786519972,0.0006904149134,-0.1649560301,1.678151743e-05
4,1,1.15149,2.39998963,0.75,2,-6.46402887,0.0007550009353,-0.1571174247,1.835137265e-05
4,1,1.24745,2.599993976,0.75,2,-6.065858066,0.00103760263,-0.1474393164,2.522040918e-05
4,1,1.34341,2.799998322,0.75,2,-5.592095987,0.00114917885,-0.1359238546,2.793242806e-05
4,1,1.43937,3.000002669,0.75,2,-5.052735206,0.00136852179,-0.1228139229,3.32638705e-05
4,1,1.53533,3.200007015,0.75,2,-4.459458323,0.001400781569,-0.1083934836,3.404799037e-05
4,1,1.63128,3.399990519,0.75,2,-3.841680585,0.001569421812,-0.09337751613,3.814703157e-05
4,1,1.72724,3.599994866,0.75,2,-3.221243891,0.001701764803,-0.07829691893,4.136381638e-05
4,1,1.8232,3.799999212,0.75,2,-2.627072519,0.002013386887,-0.0638547378,4.893823479e-05
4,1,1.91916,4.000003558,0.75,2,-2.085458914,0.002279934066,-0.05069004802,5.541704348e-05
4,1,2.01512,4.200007905,0.75,2,-1.608486412,0.002506364529,-0.03909655229,6.092075824e-05
4,1,2.11107,4.399991409,0.75,2,-1.209802934,0.003101523665,-0.02940598273,7.53869484e-05
4,1,2.20703,4.599995755,0.75,2,-0.8899176308,0.003383899251,-0.02163071502,8.225048904e-05
4,1,2.30299,4.800000102,0.75,2,-0.6434377639,0.004374622304,-0.01563967093,0.0001063314234
4,1,2.39895,5.000004448,0.75,2,-0.4494697932,0.004681935802,-0.01092500325,0.0001138011155
4,1,0,0,0.75,3,-9.057683385,0.000997065042,-0.2201598903,2.423508539e-05
4,1,0.0959579,0.1999999695,0.75,3,-9.050164036,0.0009567637099,-0.2199771218,2.325550414e-05
4,1,0.191916,0.4000003558,0.75,3,-9.016796872,0.0009676366802,-0.2191660854,2.351978716e-05
4,1,0.287874,0.6000005338,0.75,3,-8.963042596,0.0009747023957,-0.2178595112,2.369152944e-05
4,1,0.383832,0.8000007117,0.75,3,-8.87809043,0.001101989851,-0.2157946279,2.678543227e-05
4,1,0.47979,1.00000089,0.75,3,-8.757901868,0.001121348604,-0.2128732738,2.725597431e-05
4,1,0.575747,1.199998983,0.75,3,-8.590954917,0.001208357952,-0.2088153904,2.93708604e-05
4,1,0.671705,1.399999161,0.75,3,-8.364591314,0.001388754195,-0.2033133008,3.375564792e-05
4,1,0.767663,1.599999339,0.75,3,-8.071613324,0.001504144813,-0.1961920536,3.656038116e-05
4,1,0.863621,1.799999517,0.75,3,-7.695687343,0.001733407839,-0.1870546374,4.213294542e-05
4,1,0.959579,1.999999695,0.75,3,-7.219799967,0.001975557553,-0.1754875172,4.801873899e-05
4,1,1.05554,2.200006126,0.75,3,-6.640297621,0.002320783632,-0.1614018876,5.640995034e-05
4,1,1.15149,2.39998963,0.75,3,-5.948831144,0.002619892814,-0.1445948105,6.368022485e-05
4,1,1.24745,2.599993976,0.75,3,-5.153114839,0.003232848815,-0.1252537928,7.857899313e-05
4,1,1.34341,2.799998322,0.75,3,-4.266321046,0.003727212419,-0.1036990071,9.059520437e-05
4,1,1.43937,3.000002669,0.75,3,-3.315888197,0.004354442411,-0.08059738354,0.0001058409223
4,1,1.53533,3.200007015,0.75,3,-2.334692735,0.005302950387,-0.05674803089,0.0001288957591
4,1,1.63128,3.399990519,0.75,3,-1.383545879,0.006218733687,-0.03362905237,0.000151155176
4,1,1.72724,3.599994866,0.75,3,-0.4864513678,0.006863405197,-0.01182389307,0.0001668248349
4,1,1.8232,3.799999212,0.75,3,0.2961465469,0.007898679568,0.007198263455,0.0001919886524
4,1,1.91916,4.000003558,0.75,3,0.9443000079,0.009461009191,0.02295255612,0.0002299632983
4,1,2.01512,4.200007905,0.75,3,1.447064018,0.01127705225,0.03517295117,0.0002741048105
4,1,2.11107,4.399991409,0.75,3,1.799680748,0.01241595586,0.04374380282,0.0003017874842
4,1,2.20703,4.599995755,0.75,3,2.021133654,0.01416811203,0.049126531,0.0003443761345
4,1,2.30299,4.800000102,0.75,3,2.148442102,0.01695713006,0.05222094408,0.0004121671885
4,1,2.39895,5.000004448,0.75,3,2.192308458,0.01830842385,0.05328717832,0.000445012308
4,1,0,0,0.75,4,-9.962241673,0.0016959341,-0.2421464674,4.122209286e-05
4,1,0.0959579,0.1999999695,0.75,4,-9.951249857,0.001682212544,-0.2418792956,4.088857089e-05
4,1,0.191916,0.4000003558,0.75,4,-9.901633649,0.001727446682,-0.2406733031,4.198805102e-05
4,1,0.287874,0.6000005338,0.75,4,-9.824116169,0.001753822019,-0.2387891303,4.262914114e-05
4,1,0.383832,0.8000007117,0.75,4,-9.70236981,0.001930760847,-0.2358299117,4.692989127e-05
4,1,0.47979,1.00000089,0.75,4,-9.533879954,0.002001909568,-0.2317345259,4.865926222e-05
4,1,0.575747,1.199998983,0.75,4,-9.305653546,0.002164456475,-0.2261871581,5.261019622e-05
4,1,0.671705,1.399999161,0.75,4,-9.002659603,0.002452603341,-0.218822459,5.961401603e-05
4,1,0.767663,1.599999339,0.75,4,-8.615503318,0.002695806572,-0.2094120743,6.552541682e-05
4,1,0.863621,1.799999517,0.75,4,-8.130460659,0.003091831651,-0.1976224219,7.51513702e-05
4,1,0.959579,1.999999695,0.75,4,-7.529120297,0.003590186955,-0.1830059882,8.726460538e-05
4,1,1.05554,2.200006126,0.75,4,-6.811990847,0.004201638991,-0.165575136,0.0001021268177
4,1,1.15149,2.39998963,0.75,4,-5.971828713,0.004756433388,-0.1451537991,0.0001156118854
4,1,1.24745,2.599993976,0.75,4,-5.030295113,0.005683810382,-0.1222684845,0.0001381531035
4,1,1.34341,2.799998322,0.75,4,-4.002734264,0.006870566798,-0.09729215509,0.0001669989078
4,1,1.43937,3.000002669,0.75,4,-2.933562623,0.007950923459,-0.07130441613,0.0001932585146
4,1,1.53533,3.200007015,0.75,4,-1.855743657,0.00955289087,-0.04510649165,0.0002321966133
4,1,1.63128,3.399990519,0.75,4,-0.8428590681,0.01082448446,-0.02048688965,0.000263104506
4,1,1.72724,3.599994866,0.75,4,0.06828957924,0.01256619772,0.001659875449,0.0003054393264
4,1,1.8232,3.799999212,0.75,4,0.8326784937,0.01496617,0.0202394363,0.0003637740697
4,1,1.91916,4.000003558,0.75,4,1.433763085,0.01756621546,0.03484965307,0.0004269718763
4,1,2.01512,4.200007905,0.75,4,1.843913557,0.02022351493,0.04481894423,0.0004915613232
4,1,2.11107,4.399991409,0.75,4,2.097643834,0.0232280778,0.05098621986,0.0005645915013
4,1,2.20703,4.599995755,0.75,4,2.194458496,0.02593611626,0.05333943806,0.0006304142317
4,1,2.30299,4.800000102,0.75,4,2.257645732,0.03012979243,0.05487529379,0.0007323475016
4,1,2.39895,5.000004448,0.75,4,2.196046326,0.03347134842,0.05337803253,0.0008135687775
4,1,0,0,0.75,5,-10.3447404,0.00261227877,-0.2514436436,6.349515467e-05
4,1,0.0959579,0.1999999695,0.75,5,-10.3316529,0.002611398991,-0.2511255332,6.34737704e-05
4,1,0.191916,0.4000003558,0.75,5,-10.26963514,0.002670467005,-0.2496181032,6.490950257e-05
4,1,0.287874,0.6000005338,0.75,5,-10.17368627,0.002743935313,-0.2472859294,6.66952544e-05
4,1,0.383832,0.8000007117,0.75,5,-10.02416211,0.00298632117,-0.2436515318,7.258678775e-05
4,1,0.47979,1.00000089,0.75,5,-9.820202874,0.003157573548,-0.2386940121,7.674932061e-05
4,1,0.575747,1.199998983,0.75,5,-9.548028416,0.003404769727,-0.2320784244,8.275777566e-05
4,1,0.671705,1.399999161,0.75,5,-9.190913099,0.003825235272,-0.2233982282,9.297778937e-05
4,1,0.767663,1.599999339,0.75,5,-8.742257845,0.004262947922,-0.2124930235,0.0001036170185
4,1,0.863621,1.799999517,0.75,5,-8.183824335,0.004908654431,-0.198919502,0.0001193118345
4,1,0.959579,1.999999695,0.75,5,-7.501496995,0.005527135834,-0.1823345645,0.0001343449056
4,1,1.05554,2.200006126,0.75,5,-6.701766026,0.006615138908,-0.1628959647,0.0001607903693
4,1,1.15149,2.39998963,0.75,5,-5.776613774,0.007560594567,-0.1404088221,0.0001837710152
4,1,1.24745,2.599993976,0.75,5,-4.761716405,0.009071974365,-0.1157402966,0.000220507253
4,1,1.34341,2.799998322,0.75,5,-3.674175349,0.01082226103,-0.08930606287,0.0002630504624
4,1,1.43937,3.000002669,0.75,5,-2.54919214,0.01245612412,-0.06196174431,0.0003027638309
4,1,1.53533,3.200007015,0.75,5,-1.44165377,0.01514357849,-0.0350414474,0.0003680862355
4,1,1.63128,3.399990519,0.75,5,-0.4379455255,0.01725526401,-0.01064488951,0.0004194137586
4,1,1.72724,3.599994866,0.75,5,0.4653443002,0.02072646596,0.01131085574,0.0005037862641
4,1,1.8232,3.799999212,0.75,5,1.19779137,0.02356159384,0.02911402458,0.0005726980834
4,1,1.91916,4.000003558,0.75,5,1.745566431,0.027406463,0.0424284773,0.0006661531026
4,1,2.01512,4.200007905,0.75,5,2.100528699,0.03212084065,0.0510563406,0.0007807427633
4,1,2.11107,4.399991409,0.75,5,2.286077145,0.03671600201,0.05556635976,0.0008924347024
4,1,2.20703,4.599995755,0.75,5,2.343650661,0.0424686753,0.05696576602,0.001032261617
4,1,2.30299,4.800000102,0.75,5,2.381948847,0.04842320749,0.05789665798,0.001176995
4,1,2.39895,5.000004448,0.75,5,2.291285949,0.05435143415,0.05569296715,0.001321088989
